name_telecaller,client,status,source,isExternal,city,days_difference
Sheeba,Others,negative,Reused Leads,False,Bangalore,151
Sheeba,Others,negative,Others,False,Hyderabad,9
Sheeba,Others,inaccessible,Others,False,Hyderabad,6
Sheeba,Others,inaccessible,Others,False,Hyderabad,0
Sheeba,Zomato,negative,Referrals,False,Hyderabad,369
Sheeba,Missing Clients,negative,API,False,Hyderabad,251
Sheeba,Swiggy,rnr,unknown,True,Bangalore,5
Sheeba,Swiggy,rnr,unknown,True,Bangalore,1
Sheeba,Swiggy,rnr,unknown,True,Bangalore,2
Sheeba,Swiggy,inaccessible,Referrals,False,Hyderabad,12
Sheeba,Others,rnr,Others,False,Chennai,10
Sheeba,Others,inaccessible,Others,False,Chennai,9
Sheeba,Others,negative,Others,False,Chennai,11
Sheeba,Zomato,negative,Referrals,False,Hyderabad,0
Sheeba,Zomato,negative,Referrals,False,Hyderabad,5
Sheeba,Zomato,inaccessible,Referrals,False,Hyderabad,1
Sheeba,Others,rnr,API,False,Chennai,3
Sheeba,Zomato,negative,API,False,Chennai,166
Sheeba,Others,positive,API,False,Chennai,3
Sheeba,Zomato,negative,API,False,Chennai,196
Sheeba,Others,positive,API,False,Chennai,0
Sheeba,Swiggy,negative,Reused Leads,False,Hyderabad,5
Sheeba,Zomato,inaccessible,Reused Leads,False,Hyderabad,281
Sheeba,Rapido,negative,Web Chat Referrals,False,Hyderabad,366
Sheeba,Swiggy,negative,Reused Leads,False,Hyderabad,1
Sheeba,Others,positive,Referrals,False,Delhi,366
Sheeba,Uber Eats,negative,Referrals,True,Bangalore,2
Sheeba,Random,other reasons,Others,True,Missing,17
Sheeba,Missing Clients,inaccessible,WhatsApp OptIn Form,False,Missing,366
Sheeba,Others,rnr,Referrals,False,Bangalore,3
Sheeba,Others,negative,Referrals,False,Bangalore,4
Sheeba,Zomato,positive,Reused Leads,False,Bangalore,366
Sheeba,Move in sync,negative,Airavatha data,True,Missing,34
Sheeba,Swiggy,inaccessible,unknown,True,Bangalore,2
Sheeba,Swiggy,inaccessible,unknown,True,Bangalore,1
Sheeba,Others,inaccessible,Others,False,Bangalore,4
